Eurasian Wren,EURASIAN WREN
Spotted Flycatcher,SPOTTED FLYCATCHER
Ring-necked Pheasant,RING-NECKED PHEASANT
Common Chaffinch,COMMON CHAFFINCH
Common Chaffinch,COMMON CHAFFINCH
Common Wood-Pigeon,COMMON WOOD-PIGEON
Rook,ROOK
Eurasian Reed Warbler,EURASIAN REED WARBLER
Eurasian Reed Warbler,EURASIAN REED WARBLER
Hudsonian Godwit,HUDSONIAN GODWIT
Hudsonian Godwit,HUDSONIAN GODWIT
Hudsonian Godwit,HUDSONIAN GODWIT
Spotted Flycatcher,SPOTTED FLYCATCHER
Mew Gull,MEW GULL
Rook,ROOK
Herring Gull,HERRING GULL
Rook,ROOK
Eurasian Jackdaw,EURASIAN JACKDAW
European Robin,EUROPEAN ROBIN
Gray Heron,GRAY HERON
Eurasian Jackdaw,EURASIAN JACKDAW
Mute Swan,MUTE SWAN
Gray Heron,GRAY HERON
Mute Swan,MUTE SWAN
Razorbill,RAZORBILL
Gray Wagtail,GRAY WAGTAIL
White Wagtail,WHITE WAGTAIL
European Robin,EUROPEAN ROBIN
Eurasian Jackdaw,EURASIAN JACKDAW
Common Tern,COMMON TERN
Common Tern,COMMON TERN
Black-headed Gull,BLACK-HEADED GULL
European Robin,EUROPEAN ROBIN
Goldcrest,GOLDCREST
Ring-necked Pheasant,RING-NECKED PHEASANT
Eurasian Collared-Dove,EURASIAN COLLARED-DOVE
Eurasian Jackdaw,EURASIAN JACKDAW
Spotted Flycatcher,SPOTTED FLYCATCHER
Eurasian Wren,EURASIAN WREN
Eurasian Wren,EURASIAN WREN
Spotted Flycatcher,SPOTTED FLYCATCHER
Ring-necked Pheasant,RING-NECKED PHEASANT
Common Chaffinch,COMMON CHAFFINCH
Common Chaffinch,COMMON CHAFFINCH
Common Wood-Pigeon,COMMON WOOD-PIGEON
