Muscicapa striata,MUSCICAPA STRIATA
Troglodytes troglodytes,TROGLODYTES TROGLODYTES
Troglodytes troglodytes,TROGLODYTES TROGLODYTES
Muscicapa striata,MUSCICAPA STRIATA
Phasianus colchicus,PHASIANUS COLCHICUS
Fringilla coelebs,FRINGILLA COELEBS
Fringilla coelebs,FRINGILLA COELEBS
Columba palumbus,COLUMBA PALUMBUS
Corvus frugilegus,CORVUS FRUGILEGUS
Acrocephalus scirpaceus,ACROCEPHALUS SCIRPACEUS
Acrocephalus scirpaceus,ACROCEPHALUS SCIRPACEUS
Limosa haemastica,LIMOSA HAEMASTICA
Limosa haemastica,LIMOSA HAEMASTICA
Limosa haemastica,LIMOSA HAEMASTICA
Muscicapa striata,MUSCICAPA STRIATA
Larus canus,LARUS CANUS
Corvus frugilegus,CORVUS FRUGILEGUS
Larus argentatus,LARUS ARGENTATUS
Corvus frugilegus,CORVUS FRUGILEGUS
Corvus monedula,CORVUS MONEDULA
Erithacus rubecula,ERITHACUS RUBECULA
Ardea cinerea,ARDEA CINEREA
Corvus monedula,CORVUS MONEDULA
Cygnus olor,CYGNUS OLOR
Ardea cinerea,ARDEA CINEREA
Cygnus olor,CYGNUS OLOR
Alca torda,ALCA TORDA
Motacilla cinerea,MOTACILLA CINEREA
Motacilla alba,MOTACILLA ALBA
Erithacus rubecula,ERITHACUS RUBECULA
Corvus monedula,CORVUS MONEDULA
Sterna hirundo,STERNA HIRUNDO
Sterna hirundo,STERNA HIRUNDO
Chroicocephalus ridibundus,CHROICOCEPHALUS RIDIBUNDUS
Erithacus rubecula,ERITHACUS RUBECULA
Regulus regulus,REGULUS REGULUS
Phasianus colchicus,PHASIANUS COLCHICUS
Streptopelia decaocto,STREPTOPELIA DECAOCTO
Corvus monedula,CORVUS MONEDULA
Muscicapa striata,MUSCICAPA STRIATA
Troglodytes troglodytes,TROGLODYTES TROGLODYTES
Troglodytes troglodytes,TROGLODYTES TROGLODYTES
Muscicapa striata,MUSCICAPA STRIATA
Phasianus colchicus,PHASIANUS COLCHICUS
Fringilla coelebs,FRINGILLA COELEBS
Fringilla coelebs,FRINGILLA COELEBS
Columba palumbus,COLUMBA PALUMBUS
